Issuer,RIC,Exchange,TRBC Sector,GICS Sector,Market Cap (USD),Price to Book Ratio,% Price Change Year To Date,% Price Change Relative to Index YTD,% Price Change Relative to Sector YTD,% Price Change 1Y
Albemarle Corp,ALB,NYSE Consolidated,Specialty Chemicals (NEC),"Materials, Chemicals, Specialty Chemicals",18645787148,2.554826,11.863688,15.461541,8.646207,118.535912
Sumitomo Metal Mining Co Ltd,5713.T,Tokyo Stock Exchange,Specialty Mining & Metals (NEC),"Materials, Metals & Mining, Diversified Metals & Mining",18122716091,1.564412,56.190027,46.718852,-5.274705,220.083817
Kratos Defense and Security Solutions Inc,KTOS.O,NASDAQ Global Select Consolidated,Aerospace & Defense (NEC),"Industrials, Capital Goods, Aerospace & Defense",16346904019,8.188601,15.307601,21.236585,7.840878,196.51084
China Shipbuilding Industry Group Power Co Ltd,600482.SS,Shanghai Stock Exchange,Heavy Electrical Equipment (NEC),"Industrials, Capital Goods, Machinery, Construction Machinery & Heavy Transportation Equipment",10847718439,1.901662,58.695652,53.789669,47.63079,42.640035
Barrick Mining Corp,ABX.TO,The Toronto Stock Exchange,Gold Mining,"Materials, Metals & Mining, Gold",73135470914,--,-2.843285,-5.318843,-14.088595,114.671101
Tongling Nonferrous Metals Group Co Ltd,000630.SZ,Shenzhen Stock Exchange,Specialty Mining & Metals (NEC),"Materials, Metals & Mining, Copper",13567794988,2.750071,15.640599,8.344134,--,101.449275
Shandong Hualu-Hengsheng Chemical Co Ltd,600426.SS,Shanghai Stock Exchange,Commodity Chemicals (NEC),"Materials, Chemicals, Fertilizers & Agricultural Chemicals",12799889308,2.8345,31.753102,27.680032,22.566777,91.270208
State Street Corp,STT,NYSE Consolidated,Investment Management & Fund Operators (NEC),"Financials, Financial Services, Capital Markets, Asset Management & Custody Banks",33820881122,1.392838,-5.945276,-2.920209,13.90237,43.648633
IDEXX Laboratories Inc,IDXX.O,NASDAQ Global Select Consolidated,Veterinary Medical Equipment & Supplies,"Health Care, Health Care Equipment & Services, Health Care Equipment & Supplies, Health Care Equipment",45689863189,28.460413,-15.181884,-10.820635,-3.150269,41.234094
Mitsui & Co Ltd,8031.T,Tokyo Stock Exchange,Diversified Industrial Goods Wholesale,"Industrials, Capital Goods, Trading Companies & Distributors",106286712514,2.244008,25.522292,17.910771,4.756812,110.397112
Burlington Stores Inc,BURL.K,NYSE Consolidated,Apparel & Accessories Retailers (NEC),"Consumer Discretionary, Consumer Discretionary Distribution & Retail, Specialty Retail, Apparel Retail",18670442680,13.623128,2.717674,6.021365,-1.786292,29.89799
Otis Worldwide Corp,OTIS.K,NYSE Consolidated,Elevator & Conveying Equipment,"Industrials, Capital Goods, Machinery, Industrial Machinery & Supplies & Components",32337681105,--,-4.76245,-1.699341,-5.578885,-16.484289
LPL Financial Holdings Inc,LPLA.O,NASDAQ Global Select Consolidated,Investment Banking & Brokerage Services (NEC),"Financials, Financial Services, Capital Markets, Investment Banking & Brokerage",23145574714,4.33074,-19.07775,-14.916822,-7.255299,-6.423414
Permian Resources Corp,PR,NYSE Consolidated,Oil & Gas Exploration and Production (NEC),"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Exploration & Production",16181658496,--,37.918746,42.354603,8.145197,49.651972
iFLYTEK Co Ltd,002230.SZ,Shenzhen Stock Exchange,Software (NEC),"Information Technology, Software & Services, Software, Application Software",17433020672,6.729786,3.002585,-3.496471,--,2.574257
TechnipFMC PLC,FTI,NYSE Consolidated,Oil Related Services and Equipment (NEC),"Energy, Energy Equipment & Services, Oil & Gas Equipment & Services",25214831937,7.495937,41.449731,45.999154,19.908148,137.849057
VICI Properties Inc,VICI.K,NYSE Consolidated,Hospitality REITs,"Real Estate, Equity Real Estate Investment Trusts (REITs), Specialized REITs, Other Specialized REITs",30380667351,1.092923,1.066856,4.317452,--,-9.920761
Tourmaline Oil Corp,TOU.TO,The Toronto Stock Exchange,Oil & Gas Exploration and Production (NEC),"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Exploration & Production",18933702917,--,8.965405,6.188961,-16.464773,4.095847
Jabil Inc,JBL,NYSE Consolidated,Electronic Components,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Manufacturing Services",26467453673,17.49336,9.924568,13.460053,17.448831,92.054249
TC Energy Corp,TRP.TO,The Toronto Stock Exchange,Oil & Gas Transportation Services (NEC),"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Storage & Transportation",66399985420,3.63768,15.771368,12.821508,-6.629495,30.014859
APA Corp (US),APA.O,NASDAQ Global Select Consolidated,Oil & Gas Exploration and Production (NEC),"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Exploration & Production",12176578377,1.998454,40.923957,48.170104,10.501652,81.039916
Paccar Inc,PCAR.O,NASDAQ Global Select Consolidated,Heavy Machinery & Vehicles (NEC),"Industrials, Capital Goods, Machinery, Construction Machinery & Heavy Transportation Equipment",60656665055,3.148706,5.323715,10.739338,-8.841618,18.681797
Industrial and Commercial Bank of China Ltd,601398.SS,Shanghai Stock Exchange,Banks (NEC),"Financials, Banks, Diversified Banks",352808273106,0.669093,-9.205549,-12.012406,-2.039139,6.983655
Best Buy Co Inc,BBY,NYSE Consolidated,Computer & Electronics Retailers (NEC),"Consumer Discretionary, Consumer Discretionary Distribution & Retail, Specialty Retail, Computer & Electronics Retail",13114802096,4.670514,-6.484387,-3.47666,0.001015,-10.967283
Carpenter Technology Corp,CRS,NYSE Consolidated,Iron & Steel (NEC),"Industrials, Capital Goods, Aerospace & Defense",17995254557,9.536436,14.750349,18.441045,7.319711,104.818867
LIG Nex1 Co Ltd,079550.KS,Korea Exchange - KSE,Aerospace & Defense (NEC),"Industrials, Capital Goods, Aerospace & Defense",10654502341,--,71.733967,31.890738,19.986135,158.676208
Ventas Inc,VTR,NYSE Consolidated,Healthcare REITs,"Real Estate, Equity Real Estate Investment Trusts (REITs), Health Care REITs",41112989789,3.186459,11.863531,15.461378,--,30.440024
Allianz SE,ALVG.DE,Xetra,Multiline Insurance & Brokers (NEC),"Financials, Insurance, Multi-line Insurance",153780747957,2.234418,-9.321383,-5.287284,-2.215375,1.636051
PPL Corp,PPL,NYSE Consolidated,Multiline Utilities,"Utilities, Electric Utilities",28932824559,1.94428,9.965734,13.502543,0.345125,12.767204
Tower Semiconductor Ltd,TSEM.O,NASDAQ Global Select Consolidated,Semiconductors (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",14034115140,5.28927,6.208482,11.6696,7.8883,233.360064
Gartner Inc,IT,NYSE Consolidated,IT Services & Consulting (NEC),"Information Technology, Software & Services, IT Services, IT Consulting & Other Services",11746882021,36.719563,-33.90677,-31.781025,-15.453513,-63.115516
Antero Resources Corp,AR,NYSE Consolidated,Oil & Gas Exploration and Production (NEC),"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Exploration & Production",12646439750,1.674842,18.949507,22.775259,-6.72901,12.702777
Shaanxi Coal Industry Co Ltd,601225.SS,Shanghai Stock Exchange,Coal (NEC),"Energy, Oil, Gas & Consumable Fuels, Coal & Consumable Fuels",37036031970,2.808337,23.076923,19.272072,14.495534,30.15873
NEC Corp,6701.T,Tokyo Stock Exchange,IT Services & Consulting (NEC),"Information Technology, Software & Services, IT Services, IT Consulting & Other Services",36450193522,2.975182,-19.830508,-24.69189,-23.079261,45.339706
Zhongjin Gold Corp Ltd,600489.SS,Shanghai Stock Exchange,Gold (NEC),"Materials, Metals & Mining, Gold",21714074683,5.444919,31.72089,27.648816,22.536811,139.641745
MetLife Inc,MET,NYSE Consolidated,Life & Health Insurance (NEC),"Financials, Insurance, Life & Health Insurance",44320101339,1.560677,-13.89663,-11.127302,-5.414659,-12.522523
Agricultural Bank of China Ltd,601288.SS,Shanghai Stock Exchange,Corporate Banks,"Financials, Banks, Diversified Banks",327824895475,0.769524,-13.802083,-16.466842,-6.998479,30.314961
Entegris Inc,ENTG.O,NASDAQ Global Select Consolidated,Semiconductor Equipment & Testing (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductor Materials & Equipment",16458560000,4.163141,28.522255,35.130721,1.624791,14.679093
Tractor Supply Co,TSCO.O,NASDAQ Global Select Consolidated,Miscellaneous Specialty Retailers (NEC),"Consumer Discretionary, Consumer Discretionary Distribution & Retail, Specialty Retail, Other Specialty Retail",24864834750,9.632705,-5.538892,-0.681811,3.278214,-8.555943
Jiangxi Copper Co Ltd,600362.SS,Shanghai Stock Exchange,Specialty Mining & Metals (NEC),"Materials, Metals & Mining, Copper",22435246479,2.254127,-7.611071,-10.46722,-14.052777,130.636364
Waters Corp,WAT,NYSE Consolidated,Advanced Medical Equipment & Technology (NEC),"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Life Sciences Tools & Services",28113053172,10.976336,-24.55309,-22.126503,-31.143666,-21.367029
Align Technology Inc,ALGN.O,NASDAQ Global Select Consolidated,"Medical Equipment, Supplies & Distribution (NEC)","Health Care, Health Care Equipment & Services, Health Care Equipment & Supplies, Health Care Supplies",11706664538,2.891143,5.174512,10.582463,16.369668,2.317613
Restaurant Brands International Inc,QSR,NYSE Consolidated,Quick Service Restaurants,"Consumer Discretionary, Consumer Services, Hotels, Restaurants & Leisure, Restaurants",25173529621,6.927223,6.478089,9.902725,5.321767,10.511104
MACOM Technology Solutions Holdings Inc,MTSI.O,NASDAQ Global Select Consolidated,Semiconductors (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",16337607066,12.310804,27.160206,33.698636,29.1714,109.001056
MKS Incorporated,MKSI.O,NASDAQ Global Select Consolidated,Testing & Measuring Equipment,"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductor Materials & Equipment",14354161801,5.279206,33.573217,40.441397,5.618675,162.74003
Xpeng Inc,9868.HK,The Stock Exchange of Hong Kong Ltd,Electric (Alternative) Vehicles,"Consumer Discretionary, Automobiles & Components, Automobiles, Automobile Manufacturers",19296620743,4.238128,-0.441084,0.203757,2.473852,-17.277487
Fabrinet,FN,NYSE Consolidated,Electronic Components,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Manufacturing Services",17989726390,9.077413,10.292567,13.839888,17.842019,124.510418
American Water Works Co Inc,AWK,NYSE Consolidated,Water Supply & Irrigation Systems,"Utilities, Water Utilities",27268698553,2.516259,7.042146,10.484924,-2.112329,-1.999439
NTT Inc,9432.T,Tokyo Stock Exchange,Integrated Telecommunications Services (NEC),"Communication Services, Telecommunication Services, Diversified Telecommunication Services, Integrated Telecommunication Services",87918997973,1.370446,-1.902346,-7.85087,9.643343,4.245283
Edison International,EIX,NYSE Consolidated,Electric Utilities (NEC),"Utilities, Electric Utilities",27601053193,1.615798,19.510163,23.353948,9.054537,28.479312
Jiangsu Hengrui Pharmaceuticals Co Ltd,600276.SS,Shanghai Stock Exchange,Pharmaceuticals (NEC),"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals",51179492396,7.722932,-7.48699,-10.346976,-2.196095,22.385077
Regal Rexnord Corp,RRX,NYSE Consolidated,Electrical Components & Equipment (NEC),"Industrials, Capital Goods, Electrical Equipment, Electrical Components & Equipment",12383552160,1.809376,32.710946,36.979306,25.65546,62.085473
Darden Restaurants Inc,DRI,NYSE Consolidated,Restaurants & Bars (NEC),"Consumer Discretionary, Consumer Services, Hotels, Restaurants & Leisure, Restaurants",23300729820,10.081223,9.971742,13.508745,8.77748,11.726384
London Stock Exchange Group PLC,LSEG.L,London Stock Exchange,Financial & Commodity Market Operators & Service Providers (NEC),"Financials, Financial Services, Capital Markets, Financial Exchanges & Data",58062865546,2.220225,-2.301162,-5.44098,0.299805,-21.100586
Sinoma Science & Technology Co Ltd,002080.SZ,Shenzhen Stock Exchange,Synthetic Fibers,"Materials, Chemicals, Commodity Chemicals",11233257492,4.167867,26.527243,18.543873,--,210.675676
STERIS plc,STE,NYSE Consolidated,"Medical Equipment, Supplies & Distribution (NEC)","Health Care, Health Care Equipment & Services, Health Care Equipment & Supplies, Health Care Equipment",21043958114,3.186834,-15.363679,-12.641536,-3.357852,-3.542369
Shanghai Putailai New Energy Technology Group Co Ltd,603659.SS,Shanghai Stock Exchange,Electrical Components & Equipment (NEC),"Materials, Chemicals, Specialty Chemicals",10080317671,3.388571,18.544257,14.879531,10.278903,79.060773
Roku Inc,ROKU.O,NASDAQ Global Select Consolidated,Entertainment Production Equipment & Services,"Communication Services, Media & Entertainment, Entertainment, Movies & Entertainment",13511755945,5.083535,-15.522168,-11.178415,--,35.516782
AerCap Holdings NV,AER,NYSE Consolidated,Commercial Leasing,"Industrials, Capital Goods, Trading Companies & Distributors",22201255812,1.211642,-7.456873,-4.480424,-10.225274,34.288887
BNP Paribas SA,BNPP.PA,Euronext Paris,Banks (NEC),"Financials, Banks, Diversified Banks",106756581903,0.745061,5.074886,8.235421,7.590661,15.418083
Talen Energy Corp,TLN.O,NASDAQ Global Select Consolidated,Independent Power Producers (NEC),"Utilities, Independent Power and Renewable Electricity Producers, Independent Power Producers & Energy Traders",14446019512,13.216852,-15.660015,-11.32335,-14.46025,61.956967
Honda Motor Co Ltd,7267.T,Tokyo Stock Exchange,Auto & Truck Manufacturers (NEC),"Consumer Discretionary, Automobiles & Components, Automobiles, Automobile Manufacturers",38920128036,0.503073,-10.9375,-16.338143,-9.614957,-4.369102
Resonac Holdings Corp,4004.T,Tokyo Stock Exchange,Commodity Chemicals (NEC),"Materials, Chemicals, Diversified Chemicals",12881468280,2.936823,70.088875,59.774891,51.57,216.239316
Interactive Brokers Group Inc,IBKR.O,NASDAQ Global Select Consolidated,Brokerage Services,"Financials, Financial Services, Capital Markets, Investment Banking & Brokerage",112281664177,20.936354,2.92334,8.215539,17.960072,64.416568
Resmed Inc,RMD,NYSE Consolidated,Advanced Medical Equipment & Technology (NEC),"Health Care, Health Care Equipment & Services, Health Care Equipment & Supplies, Health Care Equipment",33628402086,5.634919,-4.164072,-1.081717,9.430441,5.060987
Pop Mart International Group Ltd,9992.HK,The Stock Exchange of Hong Kong Ltd,Toys & Games Retailers,"Consumer Discretionary, Consumer Discretionary Distribution & Retail, Specialty Retail, Other Specialty Retail",35092653887,22.562626,9.110282,9.816987,--,72.245585
Mirae Asset Securities Co Ltd,006800.KS,Korea Exchange - KSE,Investment Banking,"Financials, Financial Services, Capital Markets, Diversified Capital Markets",28642915455,5.662055,197.64454,128.589362,56.862791,621.703011
GE Healthcare Technologies Inc,GEHC.O,NASDAQ Global Select Consolidated,Advanced Medical Equipment & Technology (NEC),"Health Care, Health Care Equipment & Services, Health Care Equipment & Supplies, Health Care Equipment",32253411010,3.107564,-13.716167,-9.279552,-1.476637,-13.112339
Seres Group Co Ltd,601127.SS,Shanghai Stock Exchange,Electric (Alternative) Vehicles,"Consumer Discretionary, Automobiles & Components, Automobiles, Automobile Manufacturers",25089866654,14.236438,-17.137897,-19.69953,-22.915357,-20.666456
US Foods Holding Corp,USFD.K,NYSE Consolidated,Food Retail & Distribution (NEC),"Consumer Staples, Consumer Staples Distribution & Retail, Food Distributors",20869885390,4.845574,25.637281,29.678131,8.296001,48.602387
GlobalFoundries Inc,GFS.O,NASDAQ Global Select Consolidated,Semiconductor Machinery Manufacturing,"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductors",23291626336,1.952685,19.873998,26.03778,21.769952,14.590747
Anglogold Ashanti PLC,AU,NYSE Consolidated,Gold Mining,"Materials, Metals & Mining, Gold",47920854372,7.228972,11.268762,14.84748,1.387931,192.32902
MP Materials Corp,MP,NYSE Consolidated,Rare Earth Minerals,"Materials, Metals & Mining, Diversified Metals & Mining",10164354814,5.136737,13.24228,16.884473,--,134.659557
Wynn Resorts Ltd,WYNN.O,NASDAQ Global Select Consolidated,Casinos,"Consumer Discretionary, Consumer Services, Hotels, Restaurants & Leisure, Casinos & Gaming",10473170915,--,-16.537854,-12.246327,-3.341398,20.665625
Hubbell Inc,HUBB.K,NYSE Consolidated,Electrical Components & Equipment (NEC),"Industrials, Capital Goods, Electrical Equipment, Electrical Components & Equipment",24846669542,6.457203,5.239693,8.624499,-0.355304,40.861965
China Coal Energy Co Ltd,601898.SS,Shanghai Stock Exchange,Coal (NEC),"Energy, Oil, Gas & Consumable Fuels, Coal & Consumable Fuels",32673466150,1.644799,51.286174,46.60925,40.737928,80.095694
Canadian National Railway Co,CNR.TO,The Toronto Stock Exchange,Ground Freight & Logistics (NEC),"Industrials, Transportation, Ground Transportation, Rail Transportation",64184074938,4.082331,6.084715,3.381671,-2.278536,3.993356
Fox Corp,FOXA.O,NASDAQ Global Select Consolidated,Television Broadcasting,"Communication Services, Media & Entertainment, Media, Broadcasting",23209077006,2.04092,-21.458875,-17.420381,--,12.441223
China State Construction Engineering Corp Ltd,601668.SS,Shanghai Stock Exchange,Construction & Engineering (NEC),"Industrials, Capital Goods, Construction & Engineering",30980216743,0.460422,0.389864,-2.71363,-6.609698,-3.377111
Toast Inc,TOST.K,NYSE Consolidated,Enterprise Software,"Financials, Financial Services, Transaction & Payment Processing Services",16256400000,7.653672,-22.275415,-19.775573,-10.704825,-15.363385
Figma Inc,FIG,NYSE Consolidated,Software (NEC),"Information Technology, Software & Services, Software, Application Software",13580270291,8.98974,-30.345197,-28.104901,-9.871429,--
Deutsche Bank AG,DBKGn.DE,Xetra,Banks (NEC),"Financials, Financial Services, Capital Markets, Diversified Capital Markets",55596671314,0.619278,-23.014195,-19.589261,-1.719493,19.615204
Ameriprise Financial Inc,AMP,NYSE Consolidated,Investment Management & Fund Operators (NEC),"Financials, Financial Services, Capital Markets, Asset Management & Custody Banks",40308410993,6.154896,-9.84215,-6.942419,9.183168,-6.396494
IQVIA Holdings Inc,IQV,NYSE Consolidated,Biotechnology & Medical Research (NEC),"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Life Sciences Tools & Services",27650943360,--,-26.924271,-24.573949,-21.40487,-9.210164
Corpay Inc,CPAY.K,NYSE Consolidated,Transaction & Payment Services,"Financials, Financial Services, Transaction & Payment Processing Services",21608010488,5.563534,5.516233,8.909934,21.22407,-3.315876
PPG Industries Inc,PPG,NYSE Consolidated,Paints & Coatings,"Materials, Chemicals, Specialty Chemicals",22802844448,2.871533,-0.556315,2.642076,-3.416565,-8.503951
Republic Services Inc,RSG,NYSE Consolidated,Environmental Services & Equipment (NEC),"Industrials, Commercial & Professional Services, Commercial Services & Supplies, Environmental & Facilities Services",69258778671,5.786997,5.827396,9.231104,2.356107,-2.18074
Hartford Insurance Group Inc,HIG,NYSE Consolidated,Multiline Insurance & Brokers (NEC),"Financials, Insurance, Property & Casualty Insurance",36670497834,1.966774,-3.534107,-0.431491,-1.141137,14.103004
Tianqi Lithium Corp,002466.SZ,Shenzhen Stock Exchange,Specialty Mining & Metals (NEC),"Materials, Chemicals, Specialty Chemicals",12922759994,2.160172,-2.221018,-8.390486,--,68.744157
Keurig Dr Pepper Inc,KDP.O,NASDAQ Global Select Consolidated,Non-Alcoholic Beverages (NEC),"Consumer Staples, Food, Beverage & Tobacco, Beverages, Soft Drinks & Non-alcoholic Beverages",37241036677,1.459517,-2.142092,2.889648,-10.261385,-17.215343
British American Tobacco plc,BATS.L,London Stock Exchange,Tobacco (NEC),"Consumer Staples, Food, Beverage & Tobacco, Tobacco",129881922732,2.049653,7.237779,3.791401,0.909174,41.661442
On Holding Ltd,ONON.K,NYSE Consolidated,Sports & Outdoor Footwear,"Consumer Discretionary, Consumer Durables & Apparel, Textiles, Apparel & Luxury Goods, Footwear",12574595822,6.09472,-18.265921,-15.637122,-5.839694,-18.072029
Recruit Holdings Co Ltd,6098.T,Tokyo Stock Exchange,Outsourcing & Staffing Services,"Industrials, Commercial & Professional Services, Professional Services, Human Resource & Employment Services",63938515901,6.297868,-26.370521,-30.835324,-15.267023,-25.34953
Airbus SE,AIR.PA,Euronext Paris,Commercial Aircraft Manufacturing,"Industrials, Capital Goods, Aerospace & Defense",152294835822,5.110509,-15.131048,-12.578285,-14.700716,4.563554
CH Robinson Worldwide Inc,CHRW.O,NASDAQ Global Select Consolidated,Ground Freight & Logistics (NEC),"Industrials, Transportation, Air Freight & Logistics",20093182901,10.886796,5.368251,10.786164,-1.566579,75.861711
Smurfit WestRock PLC,SW,NYSE Consolidated,Paper Packaging (NEC),"Materials, Containers & Packaging, Paper & Plastic Packaging Products & Materials",20839085966,1.13707,2.792863,6.098972,4.147573,-8.473405
Bank of Nova Scotia,BNS.TO,The Toronto Stock Exchange,Banks (NEC),"Financials, Banks, Diversified Banks",84816242193,1.512485,-6.766769,-9.142356,-5.464414,38.427691
Allstate Corp,ALL,NYSE Consolidated,Property & Casualty Insurance (NEC),"Financials, Insurance, Property & Casualty Insurance",53508504545,1.870338,-0.951237,2.234451,1.505805,2.064356
M&T Bank Corp,MTB,NYSE Consolidated,Banks (NEC),"Financials, Banks, Regional Banks",29242789457,1.110078,-2.590828,0.542127,6.199712,15.128762
Dexcom Inc,DXCM.O,NASDAQ Global Select Consolidated,"Medical Equipment, Supplies & Distribution (NEC)","Health Care, Health Care Equipment & Services, Health Care Equipment & Supplies, Health Care Equipment",24723717450,9.003539,-3.209281,1.767586,10.520671,-6.191589
Entergy Corp,ETR,NYSE Consolidated,Electric Utilities (NEC),"Utilities, Electric Utilities",47826666990,2.826121,14.226983,17.900846,4.233568,27.450507
China Jushi Co Ltd,600176.SS,Shanghai Stock Exchange,Construction Materials (NEC),"Materials, Construction Materials",15210858885,3.477993,52.631579,47.913063,41.989527,120.999153
Zhejiang Century Huatong Group Co Ltd,002602.SZ,Shenzhen Stock Exchange,Software (NEC),"Communication Services, Media & Entertainment, Entertainment, Interactive Home Entertainment",18027262445,4.991281,-1.524033,-7.737478,--,142.074928
nVent Electric PLC,NVT,NYSE Consolidated,Electrical Components & Equipment (NEC),"Industrials, Capital Goods, Electrical Equipment, Electrical Components & Equipment",17778920856,4.766211,7.806218,11.273571,2.074774,102.860306
Equifax Inc,EFX,NYSE Consolidated,Professional Information Services (NEC),"Industrials, Commercial & Professional Services, Professional Services, Research & Consulting Services",22163355231,4.813621,-15.070513,-12.338941,-8.6558,-22.156043
Fidelity National Information Services Inc,FIS,NYSE Consolidated,Financial Technology (Fintech) (NEC),"Financials, Financial Services, Transaction & Payment Processing Services",25565863293,1.839403,-25.218176,-22.812981,-14.085665,-28.74552
Synchrony Financial,SYF,NYSE Consolidated,Consumer Lending (NEC),"Financials, Financial Services, Consumer Finance",22169690674,1.426254,-23.552679,-21.093917,-1.917431,22.890173
Suzhou Maxwell Technologies Co Ltd,300751.SZ,Shenzhen Stock Exchange,Industrial Machinery,"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductor Materials & Equipment",10054496263,9.146498,19.996116,12.424835,--,174.46147
Natera Inc,NTRA.O,NASDAQ Global Select Consolidated,Medical & Diagnostic Laboratories,"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Biotechnology",26624215312,15.547777,-18.001659,-13.785399,-21.396249,31.815311
Genuine Parts Co,GPC,NYSE Consolidated,Auto & Truck Parts Wholesale,"Consumer Discretionary, Consumer Discretionary Distribution & Retail, Distributors",14710771699,3.325978,-14.004554,-11.238697,-1.514487,-11.462782
Schneider Electric SE,SCHN.PA,Euronext Paris,Electrical Components & Equipment (NEC),"Industrials, Capital Goods, Electrical Equipment, Electrical Components & Equipment",163393078805,5.914558,5.576841,8.752475,6.112175,10.860369
International Paper Co,IP,NYSE Consolidated,Paper Packaging (NEC),"Materials, Containers & Packaging, Paper & Plastic Packaging Products & Materials",19722736155,1.330191,-5.432851,-2.391304,-4.186548,-26.061929
Humana Inc,HUM,NYSE Consolidated,Managed Healthcare (NEC),"Health Care, Health Care Equipment & Services, Health Care Providers & Services, Managed Health Care",19860609648,1.124801,-35.411705,-33.334363,-22.656937,-34.282763
Canadian Imperial Bank of Commerce,CM.TO,The Toronto Stock Exchange,Banks (NEC),"Financials, Banks, Diversified Banks",88184907232,1.937723,5.167564,2.487889,6.636627,64.583071
Texas Pacific Land Corp,TPL,NYSE Consolidated,Oil & Gas Exploration and Production (NEC),"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Exploration & Production",36616927576,25.098877,84.920967,90.868548,45.000699,26.979662
Aflac Inc,AFL,NYSE Consolidated,Life & Health Insurance (NEC),"Financials, Insurance, Life & Health Insurance",56134523126,1.90351,-1.414709,1.756073,8.296846,3.434824
Insulet Corp,PODD.O,NASDAQ Global Select Consolidated,"Medical Equipment, Supplies & Distribution (NEC)","Health Care, Health Care Equipment & Services, Health Care Equipment & Supplies, Health Care Equipment",15475823224,10.213716,-22.65691,-18.680017,-11.685642,-10.148363
Hengli Petrochemical Co Ltd,600346.SS,Shanghai Stock Exchange,Commodity Chemicals (NEC),"Materials, Chemicals, Commodity Chemicals",23528910172,2.549209,1.908566,-1.241877,-5.196885,44.221106
Affirm Holdings Inc,AFRM.O,NASDAQ Global Select Consolidated,Financial Technology (Fintech) (NEC),"Financials, Financial Services, Transaction & Payment Processing Services",15616227318,5.088362,-37.014645,-33.77601,--,-0.042644
Sharkninja Inc,SN,NYSE Consolidated,"Appliances, Tools & Housewares (NEC)","Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Household Appliances",14129935614,5.279829,-10.598749,-7.723352,--,15.041398
Tenet Healthcare Corp,THC,NYSE Consolidated,Healthcare Facilities & Services (NEC),"Health Care, Health Care Equipment & Services, Health Care Providers & Services, Health Care Facilities",19795387690,4.69085,14.548108,18.232299,3.607612,90.469417
XPO Inc,XPO,NYSE Consolidated,Ground Freight & Logistics (NEC),"Industrials, Transportation, Ground Transportation, Cargo Ground Transportation",21286846240,11.438391,33.698771,37.998902,43.797023,71.230682
Global Payments Inc,GPN,NYSE Consolidated,Transaction & Payment Services,"Financials, Financial Services, Transaction & Payment Processing Services",19220824125,0.839749,-11.27907,-8.425554,1.928509,-25.504448
Midea Group Co Ltd,000333.SZ,Shenzhen Stock Exchange,"Appliances, Tools & Housewares (NEC)","Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Household Appliances",84832205223,2.693962,-1.650672,-7.856126,--,9.784317
Agilent Technologies Inc,A,NYSE Consolidated,Advanced Medical Equipment & Technology (NEC),"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Life Sciences Tools & Services",31512984368,4.674823,-18.049533,-15.413774,-25.208221,-4.960368
Nextpower Inc,NXT.O,NASDAQ Global Select Consolidated,Photovoltaic Solar Systems & Equipment,"Industrials, Capital Goods, Electrical Equipment, Electrical Components & Equipment",17763649856,10.910462,37.343589,44.405637,30.04181,164.924712
Qnity Electronics Inc,Q,NYSE Consolidated,Semiconductors (NEC),"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductor Materials & Equipment",22863303808,3.222453,33.557869,37.853468,19.391892,--
Banco Bilbao Vizcaya Argentaria SA,BBVA.MC,BME SPANISH EXCHANGE,Banks (NEC),"Financials, Banks, Diversified Banks",117377629609,1.792606,-10.174564,-8.866091,-2.937476,41.033673
Sysco Corp,SYY,NYSE Consolidated,Food Retail & Distribution (NEC),"Consumer Staples, Consumer Staples Distribution & Retail, Food Distributors",40943781183,22.373651,16.013028,19.744335,0.00015,17.657583
Confluent Inc,CFLT.O,NASDAQ Global Select Consolidated,Application Software,"Information Technology, Software & Services, Software, Application Software",11018764772,9.424683,1.421958,6.636957,31.233104,18.875969
Celsius Holdings Inc,CELH.O,NASDAQ Capital Market Consolidated,Non-Alcoholic Beverages (NEC),"Consumer Staples, Food, Beverage & Tobacco, Beverages, Soft Drinks & Non-alcoholic Beverages",11453420008,9.694236,-2.557936,2.452422,-10.642727,67.36763
Unilever PLC,ULVR.L,London Stock Exchange,Personal Products (NEC),"Consumer Staples, Household & Personal Products, Personal Care Products",139665781231,7.877794,-0.514456,-3.711695,0.157039,-0.262457
